regime,transaction,kind,component,gas,receipt_success,evidence
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,air_evaluation,4021,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,alpha_opening_aggregates,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,checkpoint_storage_deletion,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,compiler_shared_or_unmapped,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,constructor_hashing,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,constructor_storage,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,fri_arithmetic,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,inverse_calculations,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,mmcs_hashing_paths,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,nullifier_write,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,ood_quotient,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,other_state,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,parse_canonicality,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,payout_calls,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,public_statement,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,row_reductions,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,transcript_challenges,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,standard_intrinsic,336920,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x7c9945014eef04cc48b43cc3b0979c9b3f6aa9bcbb75f5cd56857f2a497563c0,exclusive_receipt_component,code_deposit,3565400,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
